DocType: Accounting Period,Period Name,期间名称
apps/erpnext/erpnext/setup/doctype/company/company.py +50,Abbreviation cannot have more than 5 characters,缩写不能超过5个字符
DocType: Amazon MWS Settings,AU,AU
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js +7,Payment Request,付款申请
apps/erpnext/erpnext/config/accounts.py +56,To view logs of Loyalty Points assigned to a Customer.,查看客户积分。
DocType: Asset,Value After Depreciation,折旧后金额
DocType: Student,O+,O +
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan_dashboard.py +8,Related,关联单据
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +46,Attendance date can not be less than employee's joining date,考勤日期不得早于员工入职日期
DocType: Grading Scale,Grading Scale Name,成绩换算标准
apps/erpnext/erpnext/public/js/hub/marketplace.js +148,Add Users to Marketplace,将用户添加到网上交易市场
apps/erpnext/erpnext/accounts/doctype/account/account.js +37,This is a root account and cannot be edited.,这是不能被编辑的树形结构的根结点。
DocType: Sales Invoice,Company Address,公司地址
DocType: BOM,Operations,工序
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py +38,Cannot set authorization on basis of Discount for {0},不能为{0}设置折扣授权
DocType: Subscription,Subscription Start Date,订阅开始日期
DocType: Healthcare Settings,Default receivable accounts to be used if not set in Patient to book Appointment charges.,如果未在患者中设置预约费用，则使用默认应收帐户。
DocType: Rename Tool,"Attach .csv file with two columns, one for the old name and one for the new name",附加.csv文件有两列，一为旧名称，一个用于新名称
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +192,From Address 2,来自地址2
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +48,Item Code &gt; Item Group &gt; Brand,物料代码&gt;物料组&gt;品牌
apps/erpnext/erpnext/accounts/utils.py +74,{0} {1} not in any active Fiscal Year.,{0} {1} 未在任一激活的财年中。
DocType: Packed Item,Parent Detail docname,上级物料名
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +69,"Reference: {0}, Item Code: {1} and Customer: {2}",参考：{0}，物料代号：{1}和客户：{2}
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py +357,{0} {1} is not present in the parent company,母公司中不存在{0} {1}
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py +215,Trial Period End Date Cannot be before Trial Period Start Date,试用期结束日不能早于开始日
apps/erpnext/erpnext/utilities/user_progress.py +146,Kg,千克
DocType: Tax Withholding Category,Tax Withholding Category,代扣税款类别
apps/erpnext/erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py +23,Cancel the journal entry {0} first,首先取消会计凭证{0}
DocType: Purchase Invoice,ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py +113,BOM is not specified for subcontracting item {0} at row {1},没有为第{1}行的外包物料{0}指定物料清单
DocType: Vital Signs,Reflexes,反射
apps/erpnext/erpnext/education/doctype/assessment_result_tool/assessment_result_tool.js +149,{0} Result submittted,{0}结果提交
DocType: Item Attribute,Increment,增量
apps/erpnext/erpnext/utilities/page/leaderboard/leaderboard.js +74,Timespan,时间跨度
apps/erpnext/erpnext/templates/pages/search_help.py +13,Help Results for,帮助结果
apps/erpnext/erpnext/public/js/stock_analytics.js +58,Select Warehouse...,选择仓库...
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +6,Advertising,广告
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py +22,Same Company is entered more than once,公司代码在另一行已输入过，重复了
DocType: Patient,Married,已婚
apps/erpnext/erpnext/accounts/party.py +41,Not permitted for {0},不允许{0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +617,Get items from,从...获取物料
DocType: Price List,Price Not UOM Dependant,价格不依赖于UOM
DocType: Purchase Invoice,Apply Tax Withholding Amount,代扣税款
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +528,Stock cannot be updated against Delivery Note {0},销售出货单{0}不能更新库存
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py +122,Total Amount Credited,总金额
apps/erpnext/erpnext/templates/pages/home.py +25,Product {0},产品{0}
apps/erpnext/erpnext/templates/generators/item_group.html +33,No items listed,没有物料
DocType: Asset Repair,Error Description,错误说明
DocType: Payment Reconciliation,Reconcile,核消（对帐）
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +30,Grocery,杂货
DocType: Quality Inspection Reading,Reading 1,检验结果1
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +40,Pension Funds,养老基金
DocType: Exchange Rate Revaluation Account,Gain/Loss,收益/损失
DocType: Crop,Perennial,多年生
DocType: Patient Appointment,Procedure,程序
DocType: Accounts Settings,Use Custom Cash Flow Format,使用自定义现金流量格式
DocType: SMS Center,All Sales Person,所有业务员
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**帮助你分配预算/目标跨越几个月，如果你在你的业务有季节性。
apps/erpnext/erpnext/accounts/page/pos/pos.js +1770,Not items found,未找到物料
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +265,Salary Structure Missing,未分配薪资结构
DocType: Lead,Person Name,姓名
DocType: Sales Invoice Item,Sales Invoice Item,销售发票物料
DocType: Account,Credit,贷方
DocType: POS Profile,Write Off Cost Center,销帐成本中心
apps/erpnext/erpnext/public/js/setup_wizard.js +117,"e.g. ""Primary School"" or ""University""",如“小学”或“大学”
apps/erpnext/erpnext/config/stock.py +28,Stock Reports,库存报表
DocType: Warehouse,Warehouse Detail,仓库详细信息
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py +33,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,该期限结束日期不能晚于学年年终日期到这个词联系在一起（学年{}）。请更正日期，然后再试一次。
apps/erpnext/erpnext/stock/doctype/item/item.py +284,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",是固定资产不能被反选，因为存在资产记录的项目
DocType: Delivery Trip,Departure Time,出发时间
DocType: Vehicle Service,Brake Oil,刹车油
DocType: Tax Rule,Tax Type,税别
,Completed Work Orders,完工生产工单
DocType: Support Settings,Forum Posts,论坛帖子
apps/erpnext/erpnext/controllers/taxes_and_totals.py +598,Taxable Amount,应税金额
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +161,You are not authorized to add or update entries before {0},你没有权限在{0}前添加或更改分录。
DocType: Leave Policy,Leave Policy Details,休假政策信息
DocType: BOM,Item Image (if not slideshow),物料图片(如果没有轮播图片)
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,（小时费率/ 60）*实际工序时间
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +1119,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,行＃{0}：参考单据类型必须是费用报销或会计凭证之一
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js +1032,Select BOM,选择物料清单
DocType: SMS Log,SMS Log,短信日志
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py +27,Cost of Delivered Items,出货物料成本
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py +39,The holiday on {0} is not between From Date and To Date,在{0}这个节日之间不在开始日期和结束日期之间
DocType: Inpatient Record,Admission Scheduled,住院已安排
DocType: Student Log,Student Log,学籍记录
apps/erpnext/erpnext/config/buying.py +165,Templates of supplier standings.,供应商榜单模板。
DocType: Lead,Interested,有兴趣
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py +27,Opening,期初
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +37,From {0} to {1},从{0}至 {1}
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html +234,Program: ,程序：
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +50,Failed to setup taxes,设置税码失败
DocType: Item,Copy From Item Group,从物料组复制
DocType: Delivery Trip,Delivery Notification,送达通知
DocType: Journal Entry,Opening Entry,开帐凭证
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,账户仅用于支付
DocType: Loan,Repay Over Number of Periods,按期还款
DocType: Stock Entry,Additional Costs,额外费用
apps/erpnext/erpnext/accounts/doctype/account/account.py +140,Account with existing transaction can not be converted to group.,有交易的科目不能被转换为组。
DocType: Lead,Product Enquiry,产品查询
DocType: Education Settings,Validate Batch for Students in Student Group,验证班级内学生批号
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py +38,No leave record found for employee {0} for {1},未找到员工{0}的休假记录{1}
DocType: Company,Unrealized Exchange Gain/Loss Account,未实现汇兑损益科目
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js +23,Please enter company first,请先输入公司
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js +626,Please select company first,请首先选择公司
DocType: Employee Education,Under Graduate,本科
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +291,Please set default template for Leave Status Notification in HR Settings.,请在人力资源设置中设置离职状态通知的默认模板。
apps/erpnext/erpnext/selling/report/sales_person_target_variance_item_group_wise/sales_person_target_variance_item_group_wise.js +27,Target On,目标类型
DocType: BOM,Total Cost,总成本
DocType: Soil Analysis,Ca/K,钙/ K
DocType: Salary Slip,Employee Loan,员工贷款
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-。MM.-
DocType: Fee Schedule,Send Payment Request Email,发送付款申请电子邮件
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +277,Item {0} does not exist in the system or has expired,物料{0}不存在于系统中或已过期
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,如果供应商被无限期冻结，请留空
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +44,Real Estate,房地产
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html +1,Statement of Account,对账单
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +41,Pharmaceuticals,制药
DocType: Purchase Invoice Item,Is Fixed Asset,是固定资产
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +359,"Available qty is {0}, you need {1}",可用数量：{0}，需要：{1}
DocType: Expense Claim Detail,Claim Amount,申报金额
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py +644,Work Order has been {0},生产工单已{0}
DocType: Budget,Applicable on Purchase Order,适用于采购订单
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +56,Duplicate customer group found in the cutomer group table,在CUTOMER组表中找到重复的客户群
DocType: Location,Location Name,地点名称
DocType: Naming Series,Prefix,前缀
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html +7,Event Location,活动地点
DocType: Asset Settings,Asset Settings,资产设置
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +71,Consumable,消耗品
DocType: Student,B-,B-
DocType: Assessment Result,Grade,职级
DocType: Restaurant Table,No of Seats,座位数
DocType: Sales Invoice Item,Delivered By Supplier,由供应商交货
DocType: Asset Maintenance Task,Asset Maintenance Task,资产维护任务
DocType: SMS Center,All Contact,所有联系人
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +213,Annual Salary,年薪
DocType: Daily Work Summary,Daily Work Summary,每日工作总结
DocType: Period Closing Voucher,Closing Fiscal Year,财年关帐
apps/erpnext/erpnext/accounts/party.py +425,{0} {1} is frozen,{0} {1}已冻结
apps/erpnext/erpnext/setup/doctype/company/company.py +152,Please select Existing Company for creating Chart of Accounts,请选择现有的公司创建会计科目表
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +84,Stock Expenses,存货费用
apps/erpnext/erpnext/stock/doctype/batch/batch.js +111,Select Target Warehouse,选择收料仓
apps/erpnext/erpnext/hr/doctype/employee/employee.js +87,Please enter Preferred Contact Email,请输入首选电子邮件联系
DocType: Journal Entry,Contra Entry,对销分录
DocType: Journal Entry Account,Credit in Company Currency,贷方金额(公司本币）
DocType: Lab Test UOM,Lab Test UOM,实验室测试UOM
DocType: Delivery Note,Installation Status,安装状态
DocType: BOM,Quality Inspection Template,质量检验模板
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js +136,Do you want to update attendance?<br>Present: {0}\					<br>Absent: {1},你想更新考勤？ <br>出勤：{0} \ <br>缺勤：{1}
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js +136,Do you want to update attendance?Present: {0}\					Absent: {1},你想更新考勤？ <br>出勤：{0} \ <br>缺勤：{1}
apps/erpnext/erpnext/controllers/buying_controller.py +420,Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收数量须等于物料{0}的已接收数量
DocType: Item,Supply Raw Materials for Purchase,提供原材料给供应商
DocType: Agriculture Analysis Criteria,Fertilizer,肥料
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +427,Cannot ensure delivery by Serial No as \				Item {0} is added with and without Ensure Delivery by \				Serial No.,无法确保按序列号出货，因为\已添加的物料{0}没有定义是否确保\按序列号出货
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +193,At least one mode of payment is required for POS invoice.,需要为POS发票定义至少付款模式
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,银行对账单交易发票项目
DocType: Products Settings,Show Products as a List,以列表形式展示产品
DocType: Salary Detail,Tax on flexible benefit,弹性福利计税
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.py +43,Item {0} is not active or end of life has been reached,物料{0}处于非激活或寿命终止状态
DocType: Student Admission Program,Minimum Age,最低年龄
apps/erpnext/erpnext/utilities/user_progress.py +190,Example: Basic Mathematics,例如：基础数学
DocType: Customer,Primary Address,主要地址
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py +39,Diff Qty,差异数量
DocType: Production Plan,Material Request Detail,物料申请信息
DocType: Selling Settings,Default Quotation Validity Days,默认报价有效天数
apps/erpnext/erpnext/controllers/accounts_controller.py +869,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",第{0}行的物料单价要含税，第{1}行的税也必须包括在内
DocType: SMS Center,SMS Center,短信中心
DocType: Payroll Entry,Validate Attendance,验证考勤
DocType: Sales Invoice,Change Amount,找零
DocType: Party Tax Withholding Config,Certificate Received,已收到证书
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,设置B2C的发票值。 B2CL和B2CS根据此发票值计算。
DocType: BOM Update Tool,New BOM,新物料清单
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js +242,Prescribed Procedures,规定程序
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js +36,Show only POS,只显示POS
DocType: Supplier Group,Supplier Group Name,供应商组名称
DocType: Driver,Driving License Categories,驾照类别
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +123,Please enter Delivery Date,请输入出货日期
DocType: Depreciation Schedule,Make Depreciation Entry,创建折旧凭证
DocType: Closed Document,Closed Document,封闭文件
DocType: HR Settings,Leave Settings,休假设置
